Estacion,Latitud(DMS),Longitud(DMS),Latitud,Longitud,Altitud
Frio1,"4°55'34.2"" N","74°4'5.8"" W",4.92616666666667,-74.0682777777778,2572
Frio2,"4°55'29.1"" N","74°2'59.5"" W",4.92475,-74.0498611111111,2565
Frio3,"4°54'39.08"" N","74°2'45.02"" W",4.91085555555556,-74.0458388888889,2566
Frio4,"4°53'35.0"" N","74°2'57.7"" W",4.89305555555556,-74.0493611111111,2563
Frio5,"4°51'17.3"" N","74°4'3.1"" W",4.85480555555556,-74.0675277777778,2554
Neu1,"5° 9' 38.9"" N","73° 59' 41.72"" W",5.16080555555556,-73.9949222222222,3051
Neu2,"5° 9' 36.72"" N","73° 59' 36.74"" W",5.16020027777778,-73.9935388888889,3044
Neu3,"5° 9' 2.46"" N","73° 58' 57.2"" W",5.15068333333333,-73.9825555555556,2995
Neu4,"5° 7' 40.29"" N","73° 58' 4.1"" W",5.12785833333333,-73.9678055555555,2893
Neu5,"5° 6' 37.33"" N","73° 58' 14.12"" W",5.11036944444445,-73.9705888888889,2682
Neu6,"5° 6' 5.83"" N","73° 57' 44.47"" W",5.10161944444445,-73.9623527777778,2631
Neu7,"5° 5' 0.58"" N","73° 56' 4.84"" W",5.08349444444444,-73.9346777777778,2573
