Rasgo Biológico,Categoría ,Código
Alimento,Partículas de sedimento ,SED
Alimento,Detritos finos < 1 mm,FPMO
Alimento,Detritos gruesos > 1 mm,CPOM
Alimento,Microfitas,MiPh
Alimento,Macrofitas,MaPh
Alimento,Macroinvertebrados,Mac-In
Hábitos alimenticios,Colector-recolector,CG
Hábitos alimenticios,Triturador,SH
Hábitos alimenticios,Raspador,SC
Hábitos alimenticios,Colector-filtrador,CF
Hábitos alimenticios,Predador,PR
Respiración ,Tegumento,TEG
Respiración ,Agallas,GLL
Respiración ,Plastrón,PLA
Respiración ,Espiraculos,STIG
Movilidad y fijación al sustrato,Nadador de superficie,SwS
Movilidad y fijación al sustrato,Nadador ,Sw
Movilidad y fijación al sustrato,Arrastrador,CRWL
Movilidad y fijación al sustrato,Excavador epibentonico,EpB
Movilidad y fijación al sustrato,Excavador endobentonico,EnB
Movilidad y fijación al sustrato,Temporalmente fijo al sutrato,TA
Tamaño corporal máximo (mm),<2.5,-
Tamaño corporal máximo (mm),2.5-5,-
Tamaño corporal máximo (mm),5-10,-
Tamaño corporal máximo (mm),10-20,-
Tamaño corporal máximo (mm),20-40,-
Forma corporal,Hidrodinámico,STRM
Forma corporal,Aplanado,FLAT
Forma corporal,Cilindrico,CYL
Forma corporal,Esferico,SPH
