Familia,SED,FPMO,CPMO,MiPh,MaPh,DA,Mic-In,Mac-In,CG,SH,SC,CF,PI,PR,PA,TEG,GLL,PLA,STIG,PUL,STRM,FLAT,CYL,SPH,FLI,SwS,Sw,CL,EpB,EnB,TA,<2.5mm,2.5-5mm,5-10mm,10-20mm,20-40mm,40-80mm
Aeshnidae,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1
Baetidae,0,2,0,1,0,0,0,0,3,0,2,0,0,0,0,1,2,0,0,0,3,0,1,0,0,0,3,2,0,0,0,0,0,3,1,0,0
Ceratopogonidae,0,1,0,1,0,0,0,3,1,0,0,0,0,3,0,1,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,0,3,0,0
Chironomidae,1,3,1,1,0,0,0,0,3,1,1,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,1,3,0,0
Coenagrionidae,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,2,0,3,0,0,0,1,3,0,0,3,0,0,0,3,0,0
Corixidae,0,1,0,3,2,0,1,1,0,0,0,0,3,0,1,0,0,2,3,0,3,2,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0
Elmidae,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0
Empididae,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,2,0,0,1,0,3,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0
Gerridae,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
Glossiphoniidae,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2
Helicopsychidae,0,3,0,1,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0
Hyalellidae,0,1,3,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0
Hydrophilidae,0,2,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
Leptoceridae,0,1,3,0,1,0,0,0,1,3,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,0,0,3,0
Libellulidae,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,0,3,0,0
Lymnaeidae,0,2,0,3,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0,3,0,0,0
Naididae,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0
Notonectidae,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,3,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
Physidae,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,2,0,0,0,3,0,0,0,2,0,0,3,0,0,0,3,0,0
Planariidae,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
Planorbidae,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0
Polycentropodidae,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,0,3,0,0
Simuliidae,0,3,1,1,0,0,0,0,0,0,1,3,0,0,0,3,1,0,1,0,0,0,3,0,0,0,0,2,0,0,3,0,0,3,0,0,0
Sphaeriidae,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0
Tipulidae,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,2,2,0,3,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,3,0
Tricorythidae,1,3,1,1,0,0,0,1,3,1,2,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0
Staphylinidae,0,3,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,3,0,0,1,0,3,0,0,0,0,3,0,0,0,3,1,0,0,0,0
Gyrinidae,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,0
Mesoveliidae,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,2,0,1,1,1,3,0,0,0,0,0,1,3,0,0,0,0
Philopotamidae,0,3,0,1,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,1,0,0
Hydroptilidae,0,1,0,3,0,0,0,0,0,0,3,0,3,0,0,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,2,0,3,0,0,0,0
Lumbricidae,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0
