Localidad,Lote,Familia ,Genero,Latitud,Longitud,Altitud,Fecha,Municipio,UHM,Ejemplares
Rio Teusaca ,1,Notonectidae,Notonecta,"4°43'9.7"" N","73°58'26.0"" W",2730,20-07-2015,La Calera,Glide,71
Rio Teusaca ,2,Physidae,Physa,"4°43'9.7"" N","73°58'26.0"" W",2730,20-07-2015,La Calera,Pool - Glide,30
Rio Teusaca ,3,Chironomidae,Chiro_1,"4°43'9.7"" N","73°58'26.0"" W",2730,21-07-2015,La Calera,Riffle,2
Rio Teusaca ,4,Hyalellidae,Hyalella,"4°43'28.9"" N","73°57'51.4"" W",2670,21-07-2015,La Calera,Pool ,51
Rio Teusaca ,5,Corixidae,Tenegobia,"4°43'28.9"" N","73°57'51.4"" W",2670,22-07-2015,La Calera,Riffle - Glide,49
Rio Frio ,6,Libellulidae,Sympetrum,"4°53'54"" N","74°2'51"" W",2560,12-08-2015,Cajica,Glide,1
Rio Teusaca ,7,Glossiphoniidae,Hellobdella,"4°43'28.9"" N","73°57'51.4"" W",2670,21-07-2015,La Calera,Riffle ,2
Rio Frio,8,Corixidae,Tenegobia,"4°54'0"" N","74°02'0"" W",2590,18-09-2015,Cajica,Riffle,13
Rio Frio,9,Corixidae,Centrocorisa,"4°54'0"" N","74°02'0"" W",2590,18-09-2015,Cajica,Pool,12
Humedal Guali ,10,Notonectidae,Notonecta,"4°43'43.7"" N","74°11'1.2"" W",2540,17-03-2016,Funza,Litoral,21
Humedal Guali ,11,Physidae,Physa,"4°43'43.7"" N","74°11'1.2"" W",2540,17-03-2016,Funza,Litoral,688
Humedal Guali ,12,Scirtidae,Elodes,"4°43'43.7"" N","74°11'1.2"" W",2540,17-03-2016,Funza,Litoral,103
Humedal Guali ,13,Hyalellidae,Hyalella,"4°43'43.7"" N","74°11'1.2"" W",2540,17-03-2016,Funza,Litoral,1712
Humedal Guali ,14,Tipulidae,Tipula,"4°43'43.7"" N","74°11'1.2"" W",2540,15-05-2016,Funza,Litoral,17
Humedal Guali ,15,Glossiphoniidae,Hellobdella,"4°43'43.7"" N","74°11'1.2"" W",2540,15-05-2016,Funza,Litoral,120
Humedal Guali ,16,Chironomidae,Chiro_1,"4°43'43.7"" N","74°11'1.2"" W",2540,15-05-2016,Funza,Litoral,136
Humedal Guali ,17,Hydrobiidae,Amnicola,"4°43'43.7"" N","74°11'1.2"" W",2540,15-05-2016,Funza,Zona limnetica,200
