Estacion,Epoca,Latitud,Longitud,Sitio,Muestra,Temperatura,Conductividad,Okigeno_dis,Turbidez,pH,Familia,Individuos
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,1,14.1,71.7,3.76,17.12,6.66,Aeshnidae,1
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,1,14.1,71.7,3.76,17.12,6.66,Chironomidae,13
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,1,14.1,71.7,3.76,17.12,6.66,Glossiphoniidae,12
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,1,14.1,71.7,3.76,17.12,6.66,Hyalellidae,130
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,1,14.1,71.7,3.76,17.12,6.66,Physidae,8
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Aeshnidae,2
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Coenagrionidae,1
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Corixidae,17
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Gerridae,2
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Hyalellidae,1
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Naididae,1
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Notonectidae,6
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Physidae,57
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Planariidae,4
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,2,14.9,92,5.3,14,7.2,Sphaeriidae,3
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,3,16.5,81.85,6.65,10.1,6.2,Aeshnidae,2
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,3,16.5,81.85,6.65,10.1,6.2,Corixidae,4
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,3,16.5,81.85,6.65,10.1,6.2,Gerridae,11
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,3,16.5,81.85,6.65,10.1,6.2,Notonectidae,1
Fri1,Lluvia,4.89305555555556,-74.0493611111111,Puente Peralta,3,16.5,81.85,6.65,10.1,6.2,Physidae,10
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Aeshnidae,5
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Chironomidae,1
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Coenagrionidae,1
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Corixidae,3
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Hyalellidae,119
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Notonectidae,6
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Physidae,6
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,4,14.1,71.1,3.76,17.2,6.66,Sphaeriidae,1
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,5,17.3,71,3.2,23.34,6.92,Chironomidae,13
Fri1,Seca,4.89305555555556,-74.0493611111111,Puente Peralta,5,17.3,71,3.2,23.34,6.92,Coenagrionidae,1
