,SALIDA,FECHA,ÉPOCA,MUNICIPIO,CUERPO.DE.AGUA,Estacion,Latitud,Longitud,Altitud,UHM,Area,Profundidad,Velocidad,Temperatura,Ox_disuelto,pH,Conductividad,Turbidez,Solidos.disueltos,Familia,Individuos
1,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu5,5.11036944444445,-73.9705888888889,2682,Rapid,23.4,79.5,0.31,14.66,4.68,7.27,55.22,3.53,27.89,Aeshnidae,1
2,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu5,5.11036944444445,-73.9705888888889,2682,Pool,59,86,0.05,14.66,4.4,7.27,55.22,3.02,26.52,Notonectidae,2
3,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu5,5.11036944444445,-73.9705888888889,2682,Pool,59,86,0.05,14.66,4.4,7.27,55.22,3.02,26.52,Glossiphoniidae,1
4,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu5,5.11036944444445,-73.9705888888889,2682,Pool,59,86,0.05,14.66,4.4,7.27,55.22,3.02,26.52,Chironomidae,1
5,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu5,5.11036944444445,-73.9705888888889,2682,Pool,59,86,0.05,14.66,4.4,7.27,55.22,3.02,26.52,Sphaeriidae,2
6,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu6,5.10161944444445,-73.9623527777778,2631,Rapid,11.9,79.8,0.22,14.74,4.67,7.18,54.5,30.1,27.33,Naididae,2
7,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu6,5.10161944444445,-73.9623527777778,2631,Rapid,11.9,79.8,0.22,14.74,4.67,7.18,54.5,30.1,27.33,Glossiphoniidae,2
8,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu6,5.10161944444445,-73.9623527777778,2631,Riffle,9.1,25.2,0.16,14.74,4.67,7.18,54.5,30.1,27.33,Naididae,4
9,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu6,5.10161944444445,-73.9623527777778,2631,Riffle,9.1,25.2,0.16,14.74,4.67,7.18,54.5,30.1,27.33,Glossiphoniidae,3
10,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Pool,46.6,74,0.22,15.92,4.77,7.22,53,6.11,26.67,Naididae,2
11,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Pool,46.6,74,0.22,15.92,4.77,7.22,53,6.11,26.67,Glossiphoniidae,3
12,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Pool,46.6,74,0.22,15.92,4.77,7.22,53,6.11,26.67,Chironomidae,2
13,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Pool,46.6,74,0.22,15.92,4.77,7.22,53,6.11,26.67,Physidae,2
14,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Pool,46.6,74,0.22,15.92,4.77,7.22,53,6.11,26.67,Sphaeriidae,6
15,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Pool,46.6,74,0.22,15.92,4.77,7.22,53,6.11,26.67,Planariidae,2
16,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Riffle,63.8,16.12,0.29,15.92,4.77,7.22,53,6.11,26.67,Physidae,2
17,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Riffle,63.8,16.12,0.29,15.92,4.77,7.22,53,6.11,26.67,Sphaeriidae,4
18,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Glide,22.2,44.2,0.28,15.92,4.77,7.22,53,6.11,26.67,Planariidae,3
19,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Glide,22.2,44.2,0.28,15.92,4.77,7.22,53,6.11,26.67,Sphaeriidae,5
20,1,08/06/17,Lluvia,Cogua,Río Neusa,Neu7,5.08349444444444,-73.9346777777778,2573,Glide,22.2,44.2,0.28,15.92,4.77,7.22,53,6.11,26.67,Glossiphoniidae,2
21,2,29/06/2017,Seca,Cogua,Río Neusa,Neu1,5.16080555555556,-73.9949222222222,3051,Pool,29.6,69.42,0.18,11.7,6.4,7.3,61.6,4.72,10.5,Naididae,4
22,2,29/06/2017,Seca,Cogua,Río Neusa,Neu1,5.16080555555556,-73.9949222222222,3051,Pool,29.6,69.42,0.18,11.7,6.4,7.3,61.6,4.72,10.5,Simuliidae,1
23,2,29/06/2017,Seca,Cogua,Río Neusa,Neu1,5.16080555555556,-73.9949222222222,3051,Pool,29.6,69.42,0.18,11.7,6.4,7.3,61.6,4.72,10.5,Chironomidae,9
24,2,29/06/2017,Seca,Cogua,Río Neusa,Neu2,5.16020027777778,-73.9935388888889,3044,Riffle,83.6,34.71,0.21,11.45,6.65,7.46,60.3,5.76,11.3,Naididae,2
25,2,29/06/2017,Seca,Cogua,Río Neusa,Neu2,5.16020027777778,-73.9935388888889,3044,Riffle,83.6,34.71,0.21,11.45,6.65,7.46,60.3,5.76,11.3,Tipulidae,3
26,2,29/06/2017,Seca,Cogua,Río Neusa,Neu2,5.16020027777778,-73.9935388888889,3044,Riffle,83.6,34.71,0.21,11.45,6.65,7.46,60.3,5.76,11.3,Chironomidae,7
