"Estacion","Muestra","Temperatura","OxDisuelto","pH","Area","Profundidad","Velocidad","Conductividad","Turbidez"
"Fri1",1,14,3.92,6.42,101.2,53.8,0.27,64.1,16.43
"Fri1",2,14.2,5.58,7.16,101.2,53.8,0.27,76,6.52
"Fri1",3,15.3,2.52,6.1,101.2,53.8,0.27,70.05,9.4
"Fri1",4,14.2,3.92,6.42,15.7,42.3,0.04,64.1,16.43
"Fri1",5,15.68,6.32,7.34,23,40.2,0.1,72,13.18
"Fri1",6,19,3.16,6,23,40.2,0.1,74,20.39
"Fri2",1,14.4,4.06,6.64,87.6,53.2,0.38,66.2,22.89
"Fri2",2,14.6,5.52,7.53,87.6,53.2,0.38,79,5.52
"Fri2",3,19.3,6.8,7.4,87.6,53.2,0.38,72.6,10.5
"Fri2",4,14.4,4.06,6.64,31.4,63.5,0.05,66.2,22.89
"Fri2",5,15.12,5.31,7.66,42,47.6,0.1,66,5.91
"Fri2",6,17.3,4.18,6,68.4,53.4,0.2,75.5,14.5
"Fri3",1,14.3,4.12,6.82,66.4,57.3,0.46,67.8,14.32
"Fri3",2,16.2,5.03,8.07,67,41,0.56,87.8,22.98
"Fri3",3,16.8,7.1,6.3,67,41,0.56,77.8,10.2
"Fri3",4,14.3,4.12,6.82,82.3,50.4,0.18,67.8,14.32
"Fri3",5,21.37,3.53,7.3,82.3,50.4,0.18,60,36.4
"Fri3",6,18.6,4.43,6,19.2,38.6,0.06,81.8,12.9
"Fri4",1,14.1,3.76,6.66,86.4,62.4,0.68,71.7,17.12
"Fri4",2,14.9,5.3,7.2,86.4,62.4,0.68,92,14
"Fri4",3,16.5,6.65,6.2,86.4,62.4,0.68,81.85,10.1
"Fri4",4,14.1,3.76,6.66,47.8,50.75,0.3,71.1,17.2
"Fri4",5,17.3,3.2,6.92,67.3,53.4,0.48,71,23.34
"Fri4",6,19.2,3.95,6,67.3,53.4,0.48,86.6,47.76
"Fri5",1,15.2,2.29,6.74,81.4,39.4,0.2,115.3,23.08
"Fri5",2,15.6,1.75,7.1,81.4,39.4,0.2,116.5,26.6
"Fri5",3,15,4.4,6.2,81.4,39.4,0.2,115.9,39.49
"Fri5",4,14.5,2.29,6.72,27.2,57.5,0.05,115.3,23.08
"Fri5",5,18.9,0.95,7.23,62.3,27.3,0.09,150,58.25
"Fri5",6,16.99,1.58,6,77.2,39.6,0.18,134,57
"Neu1",2,11.7,6.4,7.3,29.6,69.42,0.18,61.6,4.72
"Neu1",3,11.4,7.8,7.3,27,51.19,0.116666666666667,152.3,1.56666666666667
"Neu1",5,10.15,8.09,7.275,111.36,48.85,0.155,88.615,3.475
"Neu1",6,11.3,7.9,7.75,71.2,65.855,0.065,89.25,1.66
"Neu1",7,11.1,7.79666666666667,6.21,57.6666666666667,64.5733333333333,0.3,59.59,9.87
"Neu1",9,9.6,7.95,6.73,38,46.37,0.05,65.8,35.69
"Neu2",2,11.45,6.65,7.46,83.6,34.71,0.21,60.3,5.76
"Neu2",3,11.095,7.45,7.07,48.5,22.175,0.15,150.8,1.84
"Neu2",6,10.35,8.2,7.5,152.95,54.285,0.175,90.1,3.09
"Neu2",7,10.8,7.94,6.715,130,68.195,0.325,72.035,19.83
"Neu2",9,11.365,7.945,7.16,213,41.46,0.15,69.515,8.33
"Neu2",10,12.63,7.83,7.185,168,28.77,0.115,102.39,10.725
"Neu3",2,10.47,6.46,7.74,75,55.62,0.07,55,4.91
"Neu3",3,12.94,7.52,7.41,48.3333333333333,44.4333333333333,0.18,140.78,1.48666666666667
"Neu3",4,11.27,6.855,7.23,48.85,32.78,0.18,57.38,7.315
"Neu3",5,9.8,8.18,7.32,103.51,49.28,0.13,87.2,2.5
"Neu3",6,11.77,7.82,7.27,150.86,42,0.17,85.07,1.22
"Neu3",7,11.65,7.875,7.075,122,65.43,0.355,77,18.895
"Neu4",3,14.57,7.34,6.715,13.5,59.7,0.215,117.5,2.72
"Neu4",5,15.25,7.395,7.325,33.615,70.425,0.235,65.015,0.95
"Neu4",6,15.6,7.4,7.1,54.5,82.71,0.27,65.3,1.29
"Neu4",7,13.65,7.545,7.285,29.5,62.145,0.2,60.65,32.8
"Neu4",8,13.58,7.765,7.255,51.255,67.83,0.195,68.275,2.6
"Neu4",11,15.33,7.38,7.12,135.22,62.03,0.3,67.5,3.7
"Neu6",1,14.74,4.67,7.18,10.5,52.5,0.19,54.5,30.1
"Neu6",2,15.5266666666667,6.44,7.37666666666667,17.3333333333333,60.0466666666667,0.22,47.31,5.77
"Neu6",3,15.135,7.28,6.635,13.5,38.85,0.25,113.665,3.46
"Neu6",5,15.865,7.36,7.23,72.53,50.07,0.22,64.87,2.355
"Neu6",6,15.735,7.325,7.355,58.3,63,0.2,64.985,2.74
"Neu6",7,14.03,7.15,7.56,54,60.43,0.28,59.9,30.68
"Neu6",8,13.4,7.8,7.3,20.75,60.28,0.31,64.17,7.37
"Neu6",9,14.2,7.735,7.265,77.865,61.91,0.485,64.4,8.96
"Neu7",2,15.55,7.40333333333333,7.31333333333333,32.6666666666667,41.57,0.18,47.1,5.96333333333333
"Neu7",3,15.725,8.35,6.77,46,42.97,0.16,112.83,1.645
"Neu7",4,16.63,6.515,7.06,84,61.85,0.21,66.085,7.355
"Neu7",5,14.915,6.86,6.79,150.035,49.565,0.19,65.85,1.87
"Neu7",6,14.2666666666667,7.43333333333333,6.93333333333333,141.203333333333,68.6166666666667,0.21,64.7333333333333,2.09
"Neu7",7,15.65,7.96,6.935,291.5,44.675,0.15,67.785,20.78
